training_start,training_end,country,specification_id,p,d,q,P,D,Q,seasonal_period,burn_in,state_space_loglikelihood_burn,conservative_burn_in,n_effective,acf_threshold,residual_adequacy_rejected,residual_adequacy_reason,warnings,diagnostic,lag,value,threshold,flagged
2020-01-01,2023-12-31,Germany,sarima_p1_d1_q0_P0_D0_Q0_s24,1,1,0,0,0,0,24,48,1,48,35016,0.05,True,joint Ljung-Box and residual ACF rule,[],residual_acf,27,-0.07087701554326378,0.05,True
2020-01-01,2023-12-31,Germany,sarima_p1_d1_q0_P0_D0_Q0_s24,1,1,0,0,0,0,24,48,1,48,35016,0.05,True,joint Ljung-Box and residual ACF rule,[],residual_acf,28,-0.03863319437913055,0.05,False
2020-01-01,2023-12-31,Germany,sarima_p1_d1_q0_P0_D0_Q0_s24,1,1,0,0,0,0,24,48,1,48,35016,0.05,True,joint Ljung-Box and residual ACF rule,[],residual_acf,29,-0.07399487000489045,0.05,True
2020-01-01,2023-12-31,Germany,sarima_p1_d1_q0_P0_D0_Q0_s24,1,1,0,0,0,0,24,48,1,48,35016,0.05,True,joint Ljung-Box and residual ACF rule,[],residual_acf,30,-0.19303229485796622,0.05,True
2020-01-01,2023-12-31,Germany,sarima_p1_d1_q0_P0_D0_Q0_s24,1,1,0,0,0,0,24,48,1,48,35016,0.05,True,joint Ljung-Box and residual ACF rule,[],residual_acf,31,-0.22805012627486937,0.05,True
2020-01-01,2023-12-31,Germany,sarima_p1_d1_q0_P0_D0_Q0_s24,1,1,0,0,0,0,24,48,1,48,35016,0.05,True,joint Ljung-Box and residual ACF rule,[],residual_acf,32,-0.15450254553620033,0.05,True
2020-01-01,2023-12-31,Germany,sarima_p1_d1_q0_P0_D0_Q0_s24,1,1,0,0,0,0,24,48,1,48,35016,0.05,True,joint Ljung-Box and residual ACF rule,[],residual_acf,33,-0.09738199162774105,0.05,True
2020-01-01,2023-12-31,Germany,sarima_p1_d1_q0_P0_D0_Q0_s24,1,1,0,0,0,0,24,48,1,48,35016,0.05,True,joint Ljung-Box and residual ACF rule,[],residual_acf,34,-0.034488406349512175,0.05,False
2020-01-01,2023-12-31,Germany,sarima_p1_d1_q0_P0_D0_Q0_s24,1,1,0,0,0,0,24,48,1,48,35016,0.05,True,joint Ljung-Box and residual ACF rule,[],residual_acf,35,0.09659755621163846,0.05,True
2020-01-01,2023-12-31,Germany,sarima_p1_d1_q0_P0_D0_Q0_s24,1,1,0,0,0,0,24,48,1,48,35016,0.05,True,joint Ljung-Box and residual ACF rule,[],residual_acf,36,0.09558958145700767,0.05,True
2020-01-01,2023-12-31,Germany,sarima_p1_d1_q0_P0_D0_Q0_s24,1,1,0,0,0,0,24,48,1,48,35016,0.05,True,joint Ljung-Box and residual ACF rule,[],residual_acf,37,0.12323391174102535,0.05,True
2020-01-01,2023-12-31,Germany,sarima_p1_d1_q0_P0_D0_Q0_s24,1,1,0,0,0,0,24,48,1,48,35016,0.05,True,joint Ljung-Box and residual ACF rule,[],residual_acf,38,-0.03418683925761038,0.05,False
2020-01-01,2023-12-31,Germany,sarima_p1_d1_q0_P0_D0_Q0_s24,1,1,0,0,0,0,24,48,1,48,35016,0.05,True,joint Ljung-Box and residual ACF rule,[],residual_acf,39,-0.1190587619273615,0.05,True
2020-01-01,2023-12-31,Germany,sarima_p1_d1_q0_P0_D0_Q0_s24,1,1,0,0,0,0,24,48,1,48,35016,0.05,True,joint Ljung-Box and residual ACF rule,[],residual_acf,40,-0.17992851662240847,0.05,True
2020-01-01,2023-12-31,Germany,sarima_p1_d1_q0_P0_D0_Q0_s24,1,1,0,0,0,0,24,48,1,48,35016,0.05,True,joint Ljung-Box and residual ACF rule,[],residual_acf,41,-0.23759820240157023,0.05,True
2020-01-01,2023-12-31,Germany,sarima_p1_d1_q0_P0_D0_Q0_s24,1,1,0,0,0,0,24,48,1,48,35016,0.05,True,joint Ljung-Box and residual ACF rule,[],residual_acf,42,-0.1946342486854044,0.05,True
